BGF_1000m2,E4_upper_m2,E4_lower_m2
0.5,104.34840425531911,85.63829787234044
1.0,153.6793113101904,134.35960246360585
1.5,208.35596304591263,181.62723964165738
2.0,255.01399776035834,222.93952967525195
2.5,297.4517077267637,259.14053751399774
3.0,334.59056550951846,292.71556550951846
3.5,368.16559350503917,320.0538913773796
4.0,398.1767917133259,346.5012597984323
4.5,423.73320268757,369.3847984322509
5.0,447.5076987681971,389.5954647256439
5.5,470.39123740201563,408.0242161254199
6.0,490.1329787234042,426.45296752519596
6.5,511.7035274356103,444.881718924972
7.0,533.6961086226205,464.20142777155655
7.5,556.579647256439,484.4120940649496
8.0,582.7925531914893,506.40467525195965
8.5,610.3184490481523,531.0701287793953
9.0,639.4855823068309,556.9547872340426
9.5,674.8425251959686,588.4196528555431
10.0,718.218085106383,623.7765957446809
