BGF_1000m2,K1_upper_m2,K1_lower_m2
100.0,113.17757009345792,99.07877169559413
150.0,124.493710912796,109.07315016513245
200.0,137.3519078069004,119.72840980957065
250.0,149.7695172510716,130.38366945400884
300.0,162.96395193591457,141.4795165483803
350.0,176.36708593914693,153.45653854261823
400.0,189.6658702831846,164.99297308692292
450.0,203.84582952708874,177.4105825310941
500.0,218.9069636708594,189.82819197526527
550.0,233.52751036469678,202.68638886936967
600.0,248.1480570585342,216.42576066334058
650.0,263.20919120230485,229.72454500737828
700.0,279.5920876958752,243.02332935141592
750.0,295.0938092895791,257.2032885953201
800.0,311.4767057831495,270.942660389291
850.0,327.85960227671984,285.12261963319514
900.0,343.558428782236,299.3025788770993
950.0,360.6253952638606,313.4825381210034
1000.0,377.80830581125707,328.54367226477405
1050.0,394.7129506008011,337.87716955941255
