BGF_1000m2,V2_lower_m2,V2_upper_m2
3.0,150.0,170.0
4.0,180.0,202.5
5.0,210.0,235.0
6.0,240.0,267.5
7.0,270.0,300.0
8.0,295.0,327.5
9.0,320.0,355.0
10.0,340.0,377.5
11.0,360.0,400.0
12.0,380.0,422.5
13.0,400.0,445.0
14.0,417.5,465.0
15.0,435.0,485.0
16.0,452.5,505.0
17.0,470.0,525.0
18.0,487.5,545.0
19.0,505.0,565.0
20.0,520.0,582.5
21.0,535.0,600.0
22.0,550.0,617.5
23.0,565.0,635.0
24.0,577.5,650.0
25.0,590.0,665.0
26.0,600.0,677.5
27.0,610.0,690.0
28.0,620.0,702.5
29.0,630.0,715.0
30.0,640.0,727.5
31.0,650.0,740.0
32.0,660.0,752.5
33.0,670.0,765.0
34.0,680.0,777.5
35.0,690.0,790.0
36.0,700.0,802.5
37.0,710.0,815.0
38.0,720.0,827.5
39.0,730.0,840.0
40.0,740.0,852.5
41.0,750.0,865.0
42.0,762.5,880.0
43.0,775.0,895.0
44.0,790.0,912.5
45.0,805.0,930.0
46.0,820.0,947.5
47.0,835.0,965.0
48.0,850.0,981.5
49.0,865.0,998.0
50.0,882.5,1016.5
51.0,900.0,1035.0
